time,LA Lakers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. B. Lopez (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. B. Lopez (R. Westbrook gains possession)
11:38.0,,,0-2,2,R. Westbrook makes 2-pt shot from 1 ft
11:15.0,J. Randle misses 3-pt shot from 25 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by P. George
11:07.0,,,0-2,,Turnover by P. George (bad pass; steal by K. Caldwell-Pope)
10:54.0,T. Ennis misses 3-pt shot from 25 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by A. Roberson
10:46.0,,,0-2,,Turnover by S. Adams (lost ball; steal by K. Caldwell-Pope)
10:27.0,Turnover by J. Randle (lost ball; steal by R. Westbrook),,0-2,,
10:23.0,,,0-4,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
10:21.0,LA Lakers full timeout,,0-4,,
10:06.0,J. Randle makes 2-pt shot from 1 ft,2,2-4,,
9:45.0,,,2-4,,R. Westbrook misses 2-pt shot from 1 ft
9:45.0,,,2-4,,Offensive rebound by Team
9:45.0,Loose ball foul by J. Randle (drawn by S. Adams),,2-4,,
9:33.0,,,2-6,2,C. Anthony makes 2-pt shot at rim
9:12.0,B. Lopez makes 3-pt shot from 23 ft (assist by J. Randle),3,5-6,,
8:53.0,,,5-8,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
8:42.0,,,5-8,,Personal foul by C. Anthony (drawn by J. Randle)
8:34.0,Turnover by J. Randle (bad pass; steal by A. Roberson),,5-8,,
8:29.0,,,5-8,,R. Westbrook misses 2-pt shot from 1 ft (block by J. Randle)
8:25.0,Defensive rebound by T. Ennis,,5-8,,
8:22.0,B. Ingram misses 2-pt shot from 13 ft,,5-8,,
8:18.0,,,5-8,,Defensive rebound by S. Adams
8:10.0,,,5-11,3,C. Anthony makes 3-pt shot from 23 ft (assist by P. George)
7:51.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by B. Ingram),3,8-11,,
7:38.0,,,8-13,2,S. Adams makes 2-pt shot at rim (assist by P. George)
7:17.0,Turnover by B. Lopez (bad pass; steal by A. Roberson),,8-13,,
7:09.0,,,8-16,3,C. Anthony makes 3-pt shot from 25 ft (assist by P. George)
7:07.0,LA Lakers full timeout,,8-16,,
6:55.0,,,8-16,,Personal foul by A. Roberson (drawn by K. Caldwell-Pope)
6:50.0,B. Ingram makes 2-pt shot from 10 ft (assist by B. Lopez),2,10-16,,
6:33.0,,,10-16,,C. Anthony misses 3-pt shot from 24 ft
6:31.0,,,10-16,,Offensive rebound by Team
6:23.0,,,10-16,,R. Westbrook misses 2-pt shot from 14 ft
6:19.0,Defensive rebound by B. Ingram,,10-16,,
6:11.0,B. Lopez misses 3-pt shot from 25 ft,,10-16,,
6:09.0,,,10-16,,Defensive rebound by C. Anthony
6:03.0,,,10-16,,R. Westbrook misses 2-pt shot from 2 ft
6:02.0,,,10-16,,Offensive rebound by S. Adams
6:02.0,,,10-18,2,S. Adams makes 2-pt shot at rim
5:43.0,B. Ingram misses 2-pt shot from 23 ft,,10-18,,
5:43.0,,,10-18,,Defensive rebound by R. Westbrook
5:34.0,,,10-18,,S. Adams misses 2-pt shot from 3 ft
5:33.0,,,10-18,,Offensive rebound by Team
5:33.0,Loose ball foul by B. Lopez (drawn by S. Adams),,10-18,,
5:33.0,,,10-18,,T. Ferguson enters the game for A. Roberson
5:27.0,,,10-18,,P. George misses 3-pt shot from 24 ft
5:22.0,,,10-18,,Offensive rebound by T. Ferguson
5:20.0,,,10-20,2,P. George makes 2-pt shot at rim (assist by C. Anthony)
