time,Philadelphia,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Allen vs. J. Embiid (S. Dinwiddie gains possession),,,,Jump ball: J. Allen vs. J. Embiid (S. Dinwiddie gains possession)
11:32.0,,,0-2,2,S. Dinwiddie makes 2-pt shot from 3 ft
11:22.0,Turnover by D. Saric (lost ball; steal by A. Crabbe),,0-2,,
11:15.0,,,0-2,,D. Carroll misses 3-pt shot from 25 ft
11:13.0,,,0-2,,Offensive rebound by J. Allen
11:07.0,,,0-2,,D. Carroll misses 3-pt shot from 24 ft
11:02.0,,,0-2,,Offensive rebound by D. Russell
10:46.0,,,0-2,,S. Dinwiddie misses 3-pt shot from 26 ft
10:43.0,Defensive rebound by R. Covington,,0-2,,
10:37.0,J. Redick misses 3-pt shot from 25 ft,,0-2,,
10:33.0,,,0-2,,Defensive rebound by D. Carroll
10:29.0,,,0-2,,D. Russell misses 3-pt shot from 26 ft
10:25.0,Defensive rebound by B. Simmons,,0-2,,
10:12.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,3-2,,
9:51.0,,,3-2,,A. Crabbe misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by B. Simmons,,3-2,,
9:42.0,B. Simmons makes 2-pt shot from 4 ft,2,5-2,,
9:34.0,,,5-2,,D. Carroll misses 2-pt shot from 2 ft
9:34.0,Defensive rebound by Team,,5-2,,
9:16.0,J. Embiid makes 2-pt shot from 15 ft,2,7-2,,
8:52.0,,,7-2,,J. Allen misses 2-pt shot from 1 ft
8:50.0,,,7-2,,Offensive rebound by J. Allen
8:47.0,,,7-2,,D. Carroll misses 2-pt shot from 4 ft
8:45.0,Defensive rebound by J. Embiid,,7-2,,
8:38.0,J. Embiid makes 3-pt shot from 26 ft (assist by B. Simmons),3,10-2,,
8:20.0,,,10-4,2,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
8:06.0,Turnover by J. Embiid (bad pass; steal by S. Dinwiddie),,10-4,,
7:54.0,,,10-4,,J. Allen misses 2-pt shot from 7 ft
7:54.0,Defensive rebound by B. Simmons,,10-4,,
7:48.0,Shooting foul by J. Allen (drawn by B. Simmons),,10-4,,
7:48.0,B. Simmons misses free throw 1 of 2,,10-4,,
7:48.0,Offensive rebound by Team,,10-4,,
7:48.0,M. Belinelli enters the game for J. Redick,,10-4,,
7:48.0,B. Simmons makes free throw 2 of 2,1,11-4,,
