time,LA Lakers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. B. Lopez (L. Ball gains possession),,,,Jump ball: A. Davis vs. B. Lopez (L. Ball gains possession)
11:40.0,J. Randle misses 2-pt shot from 12 ft (block by E. Okafor),,0-0,,
11:35.0,,,0-0,,Defensive rebound by E. Moore
11:30.0,Personal foul by L. Ball (drawn by R. Rondo),,0-0,,
11:25.0,,,0-2,2,A. Davis makes 2-pt shot from 12 ft (assist by R. Rondo)
11:06.0,Turnover by K. Kuzma (bad pass),,0-2,,
10:59.0,,,0-2,,E. Moore misses 2-pt shot from 4 ft
10:55.0,Defensive rebound by K. Kuzma,,0-2,,
10:48.0,K. Caldwell-Pope misses 2-pt shot from 4 ft,,0-2,,
10:48.0,Offensive rebound by K. Caldwell-Pope,,0-2,,
10:47.0,,,0-2,,Personal foul by E. Okafor (drawn by K. Caldwell-Pope)
10:42.0,K. Caldwell-Pope makes 3-pt shot from 28 ft (assist by L. Ball),3,3-2,,
10:33.0,,,3-4,2,R. Rondo makes 2-pt shot from 7 ft
10:19.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Randle),3,6-4,,
9:59.0,,,6-4,,A. Davis misses 2-pt shot from 12 ft
9:57.0,Defensive rebound by K. Kuzma,,6-4,,
9:50.0,K. Caldwell-Pope makes 3-pt shot from 27 ft,3,9-4,,
9:41.0,,,9-6,2,J. Holiday makes 2-pt shot from 5 ft
9:28.0,Turnover by B. Lopez (lost ball; steal by R. Rondo),,9-6,,
9:23.0,,,9-8,2,R. Rondo makes 2-pt shot from 5 ft
9:17.0,Shooting foul by E. Moore (drawn by K. Kuzma),,9-8,,
9:17.0,K. Kuzma makes free throw 1 of 2,1,10-8,,
9:17.0,K. Kuzma makes free throw 2 of 2,1,11-8,,
9:13.0,,,11-8,,J. Holiday misses 3-pt shot from 25 ft
9:10.0,,,11-8,,Offensive rebound by J. Holiday
9:08.0,,,11-10,2,J. Holiday makes 2-pt shot from 2 ft
8:56.0,K. Caldwell-Pope misses 2-pt shot from 7 ft,,11-10,,
8:54.0,,,11-10,,Defensive rebound by R. Rondo
8:50.0,,,11-12,2,E. Moore makes 2-pt shot from 5 ft (assist by R. Rondo)
8:35.0,L. Ball misses 3-pt shot from 28 ft,,11-12,,
8:33.0,,,11-12,,Defensive rebound by E. Okafor
8:23.0,,,11-14,2,R. Rondo makes 2-pt shot from 5 ft
8:08.0,K. Kuzma makes 2-pt shot from 6 ft,2,13-14,,
8:01.0,,,13-14,,Shooting foul by B. Lopez (drawn by A. Davis)
8:01.0,,,13-14,,A. Davis misses free throw 1 of 2
8:01.0,,,13-14,,Offensive rebound by Team
8:01.0,,,13-15,1,A. Davis makes free throw 2 of 2
7:44.0,L. Ball misses 2-pt shot from 17 ft,,13-15,,
7:41.0,,,13-15,,Defensive rebound by E. Okafor
7:34.0,,,13-15,,R. Rondo misses 3-pt shot from 27 ft
7:30.0,Defensive rebound by B. Lopez,,13-15,,
7:23.0,K. Kuzma misses 2-pt shot from 7 ft (block by A. Davis),,13-15,,
7:23.0,Offensive rebound by Team,,13-15,,
7:17.0,B. Lopez makes 2-pt shot from 7 ft,2,15-15,,
7:03.0,,,15-17,2,J. Holiday makes 2-pt shot from 6 ft (assist by R. Rondo)
6:52.0,J. Randle makes 2-pt shot from 6 ft,2,17-17,,
6:44.0,,,17-19,2,E. Moore makes 2-pt shot from 1 ft (assist by J. Holiday)
6:29.0,J. Randle makes 2-pt shot from 8 ft,2,19-19,,
6:13.0,,,19-21,2,R. Rondo makes 2-pt shot from 4 ft (assist by J. Holiday)
6:06.0,LA Lakers full timeout,,19-21,,
6:06.0,,,19-21,,N. Mirotic enters the game for R. Rondo
6:06.0,,,19-21,,I. Clark enters the game for A. Davis
6:06.0,,,19-21,,S. Hill enters the game for E. Moore
6:02.0,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by L. Ball),3,22-21,,
5:35.0,,,22-23,2,E. Okafor makes 2-pt shot from 4 ft (assist by S. Hill)
5:23.0,B. Lopez makes 2-pt shot from 8 ft (assist by L. Ball),2,24-23,,
5:11.0,,,24-25,2,J. Holiday makes 2-pt shot from 4 ft
5:02.0,Shooting foul by I. Clark (drawn by L. Ball),,24-25,,
5:02.0,L. Ball makes free throw 1 of 2,1,25-25,,
5:02.0,L. Ball misses free throw 2 of 2,,25-25,,
4:59.0,,,25-25,,Defensive rebound by N. Mirotic
4:47.0,,,25-25,,E. Okafor misses 2-pt shot from 5 ft (block by J. Randle)
4:43.0,Defensive rebound by J. Randle,,25-25,,
4:42.0,J. Randle makes 2-pt shot from 2 ft,2,27-25,,
4:32.0,,,27-25,,S. Hill misses 3-pt shot from 26 ft
4:29.0,,,27-25,,Offensive rebound by E. Okafor
4:27.0,,,27-27,2,N. Mirotic makes 2-pt shot from 6 ft (assist by E. Okafor)
4:26.0,LA Lakers full timeout,,27-27,,
4:26.0,I. Thomas enters the game for L. Ball,,27-27,,
4:26.0,T. Wear enters the game for B. Lopez,,27-27,,
4:13.0,J. Randle misses 2-pt shot from 4 ft,,27-27,,
4:11.0,,,27-27,,Defensive rebound by N. Mirotic
4:04.0,,,27-27,,I. Clark misses 3-pt shot from 28 ft
3:59.0,,,27-27,,Offensive rebound by N. Mirotic
3:51.0,,,27-27,,Turnover by N. Mirotic (bad pass)
3:43.0,T. Wear makes 3-pt shot from 26 ft (assist by I. Thomas),3,30-27,,
3:26.0,,,30-27,,Shooting foul by K. Kuzma (drawn by N. Mirotic)
3:26.0,,,30-28,1,N. Mirotic makes free throw 1 of 2
3:26.0,,,30-28,,N. Mirotic misses free throw 2 of 2
3:24.0,Defensive rebound by T. Wear,,30-28,,
3:11.0,Turnover by I. Thomas (bad pass; steal by J. Holiday),,30-28,,
3:07.0,,,30-30,2,I. Clark makes 2-pt shot from 3 ft (assist by J. Holiday)
2:56.0,I. Thomas makes 2-pt shot from 6 ft,2,32-30,,
2:36.0,Personal foul by I. Thomas (drawn by I. Clark),,32-30,,
2:36.0,I. Zubac enters the game for K. Kuzma,,32-30,,
2:36.0,L. Ball enters the game for J. Randle,,32-30,,
2:33.0,,,32-30,,J. Holiday misses 3-pt shot from 26 ft
2:29.0,Defensive rebound by K. Caldwell-Pope,,32-30,,
2:21.0,I. Zubac makes 2-pt shot from 4 ft (assist by K. Caldwell-Pope),2,34-30,,
2:09.0,,,34-32,2,J. Holiday makes 2-pt shot from 5 ft (assist by N. Mirotic)
1:58.0,Turnover by I. Thomas (bad pass; steal by I. Clark),,34-32,,
1:50.0,Personal foul by T. Wear (drawn by N. Mirotic),,34-32,,
1:50.0,,,34-33,1,N. Mirotic makes free throw 1 of 2
1:50.0,,,34-33,,C. Diallo enters the game for J. Holiday
1:50.0,,,34-33,,D. Miller enters the game for E. Okafor
1:50.0,,,34-34,1,N. Mirotic makes free throw 2 of 2
1:31.0,L. Ball makes 3-pt shot from 28 ft,3,37-34,,
1:22.0,,,37-34,,Turnover by N. Mirotic (lost ball; steal by T. Wear)
1:18.0,K. Caldwell-Pope makes 3-pt shot from 27 ft,3,40-34,,
1:04.0,,,40-36,2,D. Miller makes 2-pt shot from 19 ft
0:55.0,T. Wear misses 3-pt shot from 27 ft,,40-36,,
0:51.0,,,40-36,,Defensive rebound by I. Clark
0:46.0,,,40-38,2,I. Clark makes 2-pt shot from 10 ft
0:39.0,Shooting foul by C. Diallo (drawn by I. Thomas),,40-38,,
0:39.0,I. Thomas makes free throw 1 of 2,1,41-38,,
0:39.0,,,41-38,,D. Liggins enters the game for S. Hill
0:39.0,I. Thomas makes free throw 2 of 2,1,42-38,,
0:31.0,,,42-38,,C. Diallo misses 2-pt shot from 8 ft (block by L. Ball)
0:27.0,Defensive rebound by L. Ball,,42-38,,
0:10.0,I. Thomas makes 2-pt shot from 6 ft,2,44-38,,
0:03.0,,,44-38,,Shooting foul by I. Thomas (drawn by I. Clark)
0:03.0,,,44-39,1,I. Clark makes free throw 1 of 2
0:03.0,,,44-40,1,I. Clark makes free throw 2 of 2
0:00.0,L. Ball misses 3-pt shot from 46 ft,,44-40,,
0:00.0,Offensive rebound by Team,,44-40,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
