method,delta,match.poss,match.id,control,timeout,effect
maha,4,away,1,-0.75,-1,-0.25
maha,4,away,2,-0,-0,0
maha,4,away,3,0.25,-0.25,-0.5
maha,4,away,4,1.75,1.75,0
maha,4,away,5,1.25,0.75,-0.5
maha,4,away,6,-0.25,-0.25,0
maha,4,away,7,-0.25,0.75,1
maha,4,away,8,2,1,-1
maha,4,away,9,1.25,1.5,0.25
maha,4,away,10,-0,0.25,0.25
maha,4,away,11,-1,-0.25,0.75
maha,4,away,12,2.25,0.5,-1.75
maha,4,away,13,-0.25,-1,-0.75
maha,4,away,14,1.75,0.25,-1.5
maha,4,away,15,1,-0.5,-1.5
maha,4,away,16,0.75,-0,-0.75
maha,4,away,17,-0,0.25,0.25
maha,4,away,18,1,-0.25,-1.25
maha,4,away,19,-0.75,-0.75,0
maha,4,away,20,1.5,1,-0.5
maha,4,away,21,1.5,1.75,0.25
maha,4,away,22,0.5,0.5,0
maha,4,away,23,1.25,-0.5,-1.75
maha,4,away,24,1,1.5,0.5
maha,4,away,25,1.25,0.75,-0.5
maha,4,away,26,1.25,0.5,-0.75
maha,4,away,27,1.75,1.5,-0.25
maha,4,away,28,-0.75,0.5,1.25
maha,4,away,29,0.25,1,0.75
maha,4,away,30,0.25,1.5,1.25
maha,4,away,31,-0.25,1.25,1.5
maha,4,away,32,-1.25,-1.25,0
maha,4,away,33,0.25,-0.5,-0.75
maha,4,away,34,1.25,-0,-1.25
maha,4,away,35,-0.5,0.25,0.75
maha,4,away,36,-1.25,-0.5,0.75
maha,4,away,37,-0,0.75,0.75
maha,4,away,38,0.75,0.75,0
maha,4,away,39,0.5,0.25,-0.25
maha,4,away,40,1.5,0.5,-1
maha,4,away,41,0.75,0.75,0
maha,4,away,42,1.25,0.75,-0.5
maha,4,away,43,-0.5,-1.5,-1
maha,4,away,44,1,0.75,-0.25
maha,4,away,45,1.25,0.75,-0.5
maha,4,away,46,1.5,0.25,-1.25
maha,4,away,47,0.75,-0.5,-1.25
maha,4,away,48,-0,-0,0
maha,4,away,49,-0.25,-0,0.25
maha,4,away,50,0.5,0.75,0.25
maha,4,away,51,1.5,2.25,0.75
maha,4,away,52,-0.25,-0,0.25
maha,4,away,53,-0.25,0.75,1
maha,4,away,54,0.5,1,0.5
maha,4,away,55,-1.75,-2,-0.25
maha,4,away,56,1.5,0.75,-0.75
maha,4,away,57,-1.25,-1.25,0
maha,4,away,58,0.25,-1.5,-1.75
maha,4,away,59,0.75,0.75,0
maha,4,away,60,0.5,-0,-0.5
maha,4,away,61,2.25,1.75,-0.5
maha,4,away,62,-0.25,1.25,1.5
maha,4,away,63,1.5,0.75,-0.75
maha,4,away,64,0.5,-0,-0.5
maha,4,away,65,0.25,-0,-0.25
maha,4,away,66,-0,-1,-1
maha,4,away,67,1.5,1.25,-0.25
maha,4,away,68,-0.25,-0.25,0
maha,4,away,69,-0,-0,0
maha,4,away,70,0.75,-0.5,-1.25
maha,4,away,71,1,0.5,-0.5
maha,4,away,72,1,-0.25,-1.25
maha,4,away,73,0.75,0.75,0
maha,4,away,74,0.5,1.75,1.25
maha,4,away,75,-0.25,1.25,1.5
maha,4,away,76,0.5,0.5,0
maha,4,away,77,-0.25,-0,0.25
maha,4,away,78,0.75,-0.75,-1.5
maha,4,away,79,-1,-1,0
maha,4,away,80,0.5,-0,-0.5
maha,4,away,81,1,0.5,-0.5
maha,4,away,82,1.25,-0.25,-1.5
maha,4,away,83,0.5,1.5,1
maha,4,away,84,0.5,0.5,0
maha,4,away,85,1,0.75,-0.25
maha,4,away,86,1.5,-0.25,-1.75
maha,4,away,87,0.75,0.25,-0.5
maha,4,away,88,-0.5,-0.5,0
maha,4,away,89,0.75,1,0.25
maha,4,away,90,2,-0,-2
maha,4,away,91,0.25,0.5,0.25
maha,4,away,92,-0.75,-2.5,-1.75
maha,4,away,93,0.5,1,0.5
maha,4,away,94,0.75,0.5,-0.25
maha,4,away,95,0.25,0.25,0
maha,4,away,96,-0,-0.25,-0.25
maha,4,away,97,0.5,0.25,-0.25
maha,4,away,98,-0,1,1
maha,4,away,99,1,1,0
maha,4,away,100,0.5,1,0.5
maha,4,away,101,1.25,0.5,-0.75
maha,4,away,102,1.25,1.25,0
maha,4,away,103,-0.25,-0.25,0
maha,4,away,104,1.25,1.75,0.5
maha,4,away,105,1,1,0
maha,4,away,106,0.75,1.5,0.75
maha,4,away,107,-0.75,-0.75,0
maha,4,away,108,-1,0.25,1.25
maha,4,away,109,-0.25,-0,0.25
maha,4,away,110,2,-0,-2
maha,4,away,111,1,-0.25,-1.25
maha,4,away,112,-0.75,-0.5,0.25
maha,4,away,113,-0,0.75,0.75
maha,4,away,114,-0,1.5,1.5
maha,4,away,115,-0.25,2,2.25
