method,delta,match.poss,match.id,control,timeout,effect
nobal,2,away,1,-1,-0,1
nobal,2,away,2,1,1,0
nobal,2,away,3,1,0.5,-0.5
nobal,2,away,4,-0,-0.5,-0.5
nobal,2,away,5,2,2,0
nobal,2,away,6,0.5,-0.5,-1
nobal,2,away,7,0.5,0.5,0
nobal,2,away,8,-1,0.5,1.5
nobal,2,away,9,1.5,0.5,-1
nobal,2,away,10,1,1,0
nobal,2,away,11,2,1,-1
nobal,2,away,12,-0,0.5,0.5
nobal,2,away,13,-0.5,1.5,2
nobal,2,away,14,1.5,0.5,-1
nobal,2,away,15,-0,-0,0
nobal,2,away,16,1,-0.5,-1.5
nobal,2,away,17,-1.5,-1,0.5
nobal,2,away,18,2.5,1.5,-1
nobal,2,away,19,-0,-1,-1
nobal,2,away,20,0.5,-0.5,-1
nobal,2,away,21,1.5,1,-0.5
nobal,2,away,22,-0,0.5,0.5
nobal,2,away,23,-0,1,1
nobal,2,away,24,1,2,1
nobal,2,away,25,-0,-1,-1
nobal,2,away,26,-0,1,1
nobal,2,away,27,1,1.5,0.5
nobal,2,away,28,1,-0,-1
nobal,2,away,29,1,-0,-1
nobal,2,away,30,1.5,1.5,0
nobal,2,away,31,1.5,1.5,0
nobal,2,away,32,-0.5,0.5,1
nobal,2,away,33,-0,2,2
nobal,2,away,34,0.5,-0,-0.5
nobal,2,away,35,1.5,1.5,0
nobal,2,away,36,-0,2.5,2.5
nobal,2,away,37,0.5,2.5,2
nobal,2,away,38,1,1.5,0.5
nobal,2,away,39,1,1,0
nobal,2,away,40,0.5,1,0.5
nobal,2,away,41,1.5,1.5,0
nobal,2,away,42,-1,1,2
nobal,2,away,43,2,1.5,-0.5
nobal,2,away,44,-0,2,2
nobal,2,away,45,-0,2,2
nobal,2,away,46,-2.5,-2.5,0
nobal,2,away,47,1,0.5,-0.5
nobal,2,away,48,1,1,0
nobal,2,away,49,-0,-1,-1
nobal,2,away,50,-2,-1,1
nobal,2,away,51,1.5,-0,-1.5
nobal,2,away,52,-0.5,1.5,2
nobal,2,away,53,-0.5,1,1.5
nobal,2,away,54,-0.5,-0.5,0
nobal,2,away,55,1,1,0
nobal,2,away,56,1,-0.5,-1.5
nobal,2,away,57,0.5,1,0.5
nobal,2,away,58,1,1,0
nobal,2,away,59,2.5,1.5,-1
nobal,2,away,60,-2,-2,0
nobal,2,away,61,-0,-0,0
nobal,2,away,62,2,1.5,-0.5
nobal,2,away,63,1.5,1.5,0
nobal,2,away,64,-0,0.5,0.5
nobal,2,away,65,1,1,0
nobal,2,away,66,-0.5,-0.5,0
nobal,2,away,67,-0,-1,-1
nobal,2,away,68,-0,-1,-1
nobal,2,away,69,-1,-0,1
nobal,2,away,70,1,1,0
nobal,2,away,71,1,1.5,0.5
nobal,2,away,72,1,1,0
nobal,2,away,73,-0,2,2
nobal,2,away,74,0.5,0.5,0
nobal,2,away,75,-0.5,0.5,1
nobal,2,away,76,1,2,1
nobal,2,away,77,-2,-3,-1
nobal,2,away,78,0.5,0.5,0
nobal,2,away,79,-1,-0,1
nobal,2,away,80,-0.5,-0,0.5
nobal,2,away,81,2.5,0.5,-2
nobal,2,away,82,-1,-1,0
nobal,2,away,83,1,2,1
nobal,2,away,84,1,-0,-1
nobal,2,away,85,3,0.5,-2.5
nobal,2,away,86,1,2,1
nobal,2,away,87,1,1,0
nobal,2,away,88,-0,-1.5,-1.5
nobal,2,away,89,-1,-0,1
nobal,2,away,90,2,0.5,-1.5
nobal,2,away,91,1.5,-0,-1.5
nobal,2,away,92,1,2,1
nobal,2,away,93,0.5,1.5,1
nobal,2,away,94,-0,-0,0
nobal,2,away,95,1,-0.5,-1.5
nobal,2,away,96,1,1,0
nobal,2,away,97,-0,0.5,0.5
nobal,2,away,98,2,0.5,-1.5
nobal,2,away,99,0.5,-0.5,-1
nobal,2,away,100,1,1.5,0.5
nobal,2,away,101,1,2.5,1.5
nobal,2,away,102,-1,1.5,2.5
nobal,2,away,103,0.5,2.5,2
nobal,2,away,104,1,-0,-1
nobal,2,away,105,1.5,-0.5,-2
nobal,2,away,106,-1,-1,0
nobal,2,away,107,1,-1.5,-2.5
nobal,2,away,108,1,-0,-1
nobal,2,away,109,1,-0,-1
nobal,2,away,110,2,1,-1
nobal,2,away,111,-0,-1.5,-1.5
nobal,2,away,112,2,1.5,-0.5
nobal,2,away,113,1.5,1.5,0
nobal,2,away,114,-0,0.5,0.5
nobal,2,away,115,1,-0.5,-1.5
nobal,2,away,116,0.5,1.5,1
nobal,2,away,117,1.5,0.5,-1
nobal,2,away,118,1,-0,-1
nobal,2,away,119,1,1,0
nobal,2,away,120,-0.5,1.5,2
nobal,2,away,121,-0,1.5,1.5
nobal,2,away,122,-0.5,-3,-2.5
nobal,2,away,123,-0,0.5,0.5
nobal,2,away,124,2,2,0
nobal,2,away,125,2.5,1,-1.5
nobal,2,away,126,-1,1.5,2.5
nobal,2,away,127,1,-0,-1
nobal,2,away,128,-0,-1,-1
nobal,2,away,129,-0,2,2
nobal,2,away,130,1,1,0
nobal,2,away,131,0.5,2,1.5
nobal,2,away,132,1,1,0
nobal,2,away,133,-0,-1,-1
nobal,2,away,134,0.5,2.5,2
nobal,2,away,135,2,0.5,-1.5
nobal,2,away,136,0.5,0.5,0
nobal,2,away,137,-0,-0,0
nobal,2,away,138,0.5,2.5,2
nobal,2,away,139,0.5,-1,-1.5
nobal,2,away,140,-0,2,2
nobal,2,away,141,2,1,-1
nobal,2,away,142,1.5,0.5,-1
nobal,2,away,143,-1,-0,1
nobal,2,away,144,-1,-1.5,-0.5
nobal,2,away,145,-0,-0.5,-0.5
nobal,2,away,146,2,-1,-3
nobal,2,away,147,1.5,0.5,-1
nobal,2,away,148,-1.5,-1.5,0
nobal,2,away,149,1,1.5,0.5
nobal,2,away,150,1,2.5,1.5
nobal,2,away,151,-0,2,2
nobal,2,away,152,1,2,1
nobal,2,away,153,-0,1,1
nobal,2,away,154,0.5,1.5,1
nobal,2,away,155,-0.5,-0,0.5
nobal,2,away,156,1.5,1.5,0
nobal,2,away,157,-0,-0,0
nobal,2,away,158,1,1,0
nobal,2,away,159,1.5,3,1.5
nobal,2,away,160,1.5,1.5,0
nobal,2,away,161,-0,1,1
nobal,2,away,162,2.5,2,-0.5
nobal,2,away,163,-2,1,3
nobal,2,away,164,-0,1,1
nobal,2,away,165,-0,-1,-1
nobal,2,away,166,0.5,-0,-0.5
nobal,2,away,167,-0,-2,-2
nobal,2,away,168,1,1,0
nobal,2,away,169,-0,-0,0
nobal,2,away,170,-0,2,2
nobal,2,away,171,1,-0,-1
nobal,2,away,172,-0,1,1
nobal,2,away,173,1,0.5,-0.5
nobal,2,away,174,2.5,1,-1.5
nobal,2,away,175,0.5,0.5,0
nobal,2,away,176,2,2,0
nobal,2,away,177,2,1,-1
nobal,2,away,178,-1.5,-0,1.5
nobal,2,away,179,1,-0.5,-1.5
nobal,2,away,180,1,1.5,0.5
nobal,2,away,181,-0.5,-2,-1.5
nobal,2,away,182,0.5,3,2.5
nobal,2,away,183,0.5,1.5,1
nobal,2,away,184,2,1,-1
